age	job	marital	education	default	housing	loan	contact	month	day_of_week	duration	campaign	pdays	previous	poutcome	emp.var.rate	cons.price.idx	cons.conf.idx	euribor3m	nr.employed	y
36	5	1	3	1	2	1	2	1	2	146	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
46	2	1	2	1	2	1	2	1	5	60	3	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
51	10	1	6	1	2	1	1	2	4	280	2	999	1	2	-0.7916666666666665	-0.40607950116913116	-0.16317991631799167	-0.7165532879818595	-0.14858223062382336	1
33	5	2	4	1	1	1	1	7	5	396	2	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9641723356009069	1.0	1
25	1	2	2	1	2	1	1	1	1	1068	3	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7210884353741497	0.024574669187146014	1
54	3	2	3	1	2	1	1	1	3	337	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7147392290249434	0.024574669187146014	1
50	3	1	6	1	1	1	1	5	2	137	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
36	6	1	3	1	1	1	1	1	3	7	6	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6739229024943311	0.024574669187146014	0
43	3	2	3	1	1	1	1	7	1	213	2	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9628117913832199	1.0	0
38	1	1	5	1	2	1	1	1	2	161	1	999	1	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6829931972789116	0.024574669187146014	0
27	3	2	2	1	1	1	2	1	1	137	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9138321995464851	0.7194706994328897	0
35	6	1	3	1	1	1	1	3	2	400	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5804988662131518	0.7557655954631386	0
28	5	2	2	1	1	1	1	5	5	124	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9619047619047618	1.0	0
43	1	1	6	1	2	2	1	5	5	197	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9619047619047618	1.0	0
34	5	3	4	1	1	1	1	9	1	122	1	999	1	2	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6507936507936508	0.024574669187146014	0
48	3	3	2	1	1	1	1	3	3	309	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.6126984126984125	0.7557655954631386	0
35	3	2	2	1	1	2	1	1	5	200	4	999	1	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7024943310657598	0.024574669187146014	0
27	3	2	3	1	2	1	1	1	3	409	1	1	1	3	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6988662131519275	0.024574669187146014	0
25	3	2	2	1	1	1	1	5	4	103	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
42	5	1	4	1	1	2	1	1	4	50	2	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7138321995464854	0.024574669187146014	0
47	3	3	3	1	1	1	2	1	3	208	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
49	8	1	3	1	1	1	1	3	1	13	2	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5356009070294783	0.7557655954631386	0
36	3	2	1	1	1	1	1	1	5	458	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7024943310657598	0.024574669187146014	1
35	5	1	4	1	2	1	2	2	3	200	3	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9183673469387756	1.0	0
29	1	1	5	1	1	1	1	3	3	127	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.6126984126984125	0.7557655954631386	0
53	1	1	6	1	1	1	2	1	1	95	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9156462585034013	0.7194706994328897	0
41	3	1	3	1	2	2	1	7	3	114	3	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	0
31	6	1	1	1	2	2	2	1	2	161	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.915192743764172	0.7194706994328897	0
46	2	1	2	1	2	1	1	1	2	174	3	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6829931972789116	0.024574669187146014	0
43	1	2	4	1	2	1	2	2	4	133	1	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.918820861678004	1.0	0
21	2	2	2	1	1	2	1	9	4	820	2	999	0	1	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.63718820861678	0.024574669187146014	0
54	6	1	6	1	2	1	2	2	2	255	3	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9623582766439907	1.0	0
31	10	1	3	1	2	1	1	7	5	91	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9628117913832199	1.0	0
50	3	1	3	1	2	1	1	7	5	587	2	999	1	2	-0.7916666666666665	-1.0	0.6234309623430958	-0.8984126984126986	-0.14858223062382336	1
48	3	1	3	1	1	2	1	7	2	288	1	0	3	3	-0.29166666666666663	0.42322681215900104	0.046025104602510414	-0.8798185941043084	-0.7882797731569013	1
26	4	2	3	1	1	1	1	2	2	181	2	999	0	1	-0.7916666666666665	-0.40607950116913116	-0.16317991631799167	-0.7238095238095239	-0.14858223062382336	0
37	2	2	1	1	1	1	2	1	1	320	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9156462585034013	0.7194706994328897	0
47	3	1	3	1	1	1	1	7	5	653	5	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	0
41	1	2	1	1	2	1	1	1	2	128	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6829931972789116	0.024574669187146014	0
32	1	2	1	1	1	1	2	2	3	22	17	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9619047619047618	1.0	0
38	2	1	1	1	2	2	2	2	1	177	2	999	0	1	-0.7916666666666665	-0.40607950116913116	-0.16317991631799167	-0.7328798185941043	-0.14858223062382336	0
48	5	1	4	1	2	1	1	5	5	288	1	999	1	2	-0.29166666666666663	0.5697583787996905	-0.12133891213389125	-0.8907029478458051	-0.7882797731569013	0
38	3	1	3	1	1	1	1	7	5	748	2	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	0
27	3	1	2	1	1	2	1	5	3	101	3	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9623582766439907	1.0	0
28	2	1	2	1	1	1	1	3	2	223	3	999	2	2	-0.04166666666666663	1.0	-1.0	-0.8126984126984127	-1.0	0
29	1	2	1	1	2	1	2	2	3	411	1	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9619047619047618	1.0	0
47	2	3	5	1	2	1	1	5	5	149	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9619047619047618	1.0	0
40	3	3	3	1	1	2	1	7	2	65	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9646258503401357	1.0	0
38	3	1	2	1	1	1	2	2	3	169	1	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9183673469387756	1.0	0
42	1	1	5	1	2	1	1	1	3	212	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6988662131519275	0.024574669187146014	0
30	10	2	3	1	1	2	1	5	2	266	3	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
33	3	2	2	1	2	2	2	2	2	113	1	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9623582766439907	1.0	0
47	6	1	3	1	2	1	1	9	3	51	3	999	0	1	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6507936507936508	0.024574669187146014	0
33	3	1	3	1	1	1	1	4	4	272	2	999	0	1	-0.04166666666666663	0.5572876071706929	0.11297071129707081	-0.889795918367347	-1.0	1
30	2	2	1	1	1	1	1	5	2	22	3	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
54	3	1	2	1	2	1	2	1	2	66	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.915192743764172	0.7194706994328897	0
47	3	1	1	1	2	1	1	3	4	164	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5605442176870745	0.7557655954631386	0
32	5	2	3	1	1	1	1	3	2	58	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5804988662131518	0.7557655954631386	0
32	1	1	1	1	1	1	1	1	1	297	2	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6925170068027212	0.024574669187146014	0
38	4	1	1	1	1	1	2	1	2	26	1	999	2	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.70702947845805	0.024574669187146014	0
38	5	2	2	1	2	1	1	7	2	74	2	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9632653061224488	1.0	0
53	1	1	2	1	1	1	1	5	5	118	7	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9619047619047618	1.0	0
26	10	2	1	1	1	1	2	1	5	112	3	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
38	3	2	3	1	2	1	1	2	5	103	1	999	0	1	-0.7916666666666665	-0.40607950116913116	-0.16317991631799167	-0.7895691609977324	-0.14858223062382336	0
39	4	3	2	1	2	1	1	4	5	261	1	3	1	3	-1.0	-0.8612626656274358	0.757322175732217	-0.9306122448979592	-0.5924385633270361	1
48	3	3	2	1	2	1	2	5	3	352	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9614512471655325	1.0	0
32	1	1	6	1	1	1	2	2	1	16	6	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9609977324263037	1.0	0
35	1	1	6	1	2	1	2	1	2	39	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
35	3	2	3	1	1	1	1	1	3	8	5	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6988662131519275	0.024574669187146014	0
28	3	2	3	1	2	2	1	5	1	94	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
52	6	1	2	1	1	2	1	7	5	167	1	10	4	2	-0.7916666666666665	-1.0	0.6234309623430958	-0.8875283446712019	-0.14858223062382336	1
35	1	1	1	1	2	1	2	2	5	497	2	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9179138321995464	1.0	0
27	3	2	3	1	2	1	1	1	5	134	1	3	1	3	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7138321995464854	0.024574669187146014	0
34	5	1	2	1	2	1	1	5	4	481	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
36	1	1	5	1	2	2	1	3	2	217	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5804988662131518	0.7557655954631386	0
32	3	1	3	1	1	2	2	1	3	175	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
55	3	1	1	1	1	2	1	3	4	430	2	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5605442176870745	0.7557655954631386	0
50	5	1	2	1	1	1	1	10	3	229	1	999	1	2	-0.8333333333333333	-0.6009353078721773	0.48953974895397456	-0.96281179138322	-0.5470699432892303	1
37	3	2	3	1	2	1	1	1	2	51	4	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6829931972789116	0.024574669187146014	0
32	8	1	3	1	2	1	1	7	3	95	5	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	0
35	5	2	4	1	1	1	1	1	3	213	4	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7238095238095239	0.024574669187146014	0
47	1	1	4	1	1	1	1	9	5	225	4	999	1	2	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6426303854875284	0.024574669187146014	0
29	1	2	1	1	2	1	1	1	2	68	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.70702947845805	0.024574669187146014	0
37	8	2	1	1	1	1	1	1	5	222	1	2	1	3	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7138321995464854	0.024574669187146014	0
32	5	2	2	1	2	1	2	5	2	239	11	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
46	2	1	2	1	1	1	1	5	3	181	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9614512471655325	1.0	0
36	2	1	2	1	2	2	2	1	2	166	5	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9156462585034013	0.7194706994328897	0
35	3	1	3	1	2	1	1	2	4	121	4	999	0	1	-0.7916666666666665	-0.40607950116913116	-0.16317991631799167	-0.7165532879818595	-0.14858223062382336	1
31	4	1	3	1	1	1	1	5	5	242	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9623582766439907	1.0	0
29	3	2	3	1	2	1	1	7	3	716	2	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	1
29	5	2	1	1	2	1	1	1	4	20	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7138321995464854	0.024574669187146014	0
31	6	2	3	1	1	1	1	1	4	165	2	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7138321995464854	0.024574669187146014	0
34	1	1	5	1	1	1	1	5	4	54	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9605442176870749	1.0	0
29	5	2	4	1	1	2	1	3	1	215	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5356009070294783	0.7557655954631386	0
46	3	2	3	1	1	2	1	5	5	62	7	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9619047619047618	1.0	0
29	1	3	2	1	2	1	1	1	1	760	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7210884353741497	0.024574669187146014	1
54	1	2	5	1	2	1	2	1	4	253	3	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9160997732426301	0.7194706994328897	0
26	6	2	3	1	1	1	1	3	3	112	5	999	0	1	-0.04166666666666663	1.0	-1.0	-0.816780045351474	-1.0	0
27	3	1	4	1	1	1	1	1	4	143	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7138321995464854	0.024574669187146014	0
32	5	2	3	1	1	1	1	7	2	158	5	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	0
35	2	1	2	1	1	1	2	1	5	87	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9142857142857139	0.7194706994328897	0
59	7	1	1	1	2	1	1	5	3	551	4	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9623582766439907	1.0	0
29	1	1	1	1	1	1	1	1	4	193	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6861678004535148	0.024574669187146014	0
37	3	1	2	1	2	2	2	1	4	155	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9160997732426301	0.7194706994328897	0
55	3	1	4	1	1	2	1	7	5	482	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.965079365079365	1.0	0
36	3	2	2	1	2	1	1	9	1	193	3	999	0	1	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6507936507936508	0.024574669187146014	0
59	3	1	2	1	2	1	2	2	3	204	4	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9614512471655325	1.0	0
34	1	2	1	1	2	1	1	1	4	484	3	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7138321995464854	0.024574669187146014	0
30	4	1	4	1	2	1	1	1	5	34	2	999	1	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7024943310657598	0.024574669187146014	0
29	3	1	2	1	2	1	1	5	4	48	7	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9605442176870749	1.0	0
34	1	2	1	1	2	1	1	1	3	281	2	999	1	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6988662131519275	0.024574669187146014	0
41	8	1	5	1	1	1	2	5	1	89	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9609977324263037	1.0	0
30	3	2	3	1	1	1	1	2	2	107	1	999	0	1	-0.7916666666666665	-0.40607950116913116	-0.16317991631799167	-0.7165532879818595	-0.14858223062382336	0
59	7	1	5	1	1	2	1	7	4	265	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9632653061224488	1.0	0
29	2	1	1	1	1	1	2	1	2	94	3	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
36	3	1	2	1	2	1	2	1	5	369	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9142857142857139	0.7194706994328897	0
39	8	1	4	1	1	1	1	3	4	997	2	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5605442176870745	0.7557655954631386	0
48	2	1	6	1	2	1	1	5	2	69	6	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
56	3	1	3	1	1	1	1	5	1	177	5	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9600907029478456	1.0	0
32	3	1	3	1	1	2	1	3	4	51	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5605442176870745	0.7557655954631386	0
28	1	2	1	1	2	1	1	9	3	218	1	999	0	1	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6566893424036282	0.024574669187146014	0
26	1	1	4	1	1	1	1	1	4	649	2	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7138321995464854	0.024574669187146014	0
29	1	2	5	1	1	1	1	1	1	13	9	999	1	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7210884353741497	0.024574669187146014	0
56	6	1	3	1	2	1	1	5	5	442	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9619047619047618	1.0	0
36	1	2	1	1	1	2	2	2	4	762	3	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9591836734693875	1.0	1
41	2	1	1	1	2	1	2	1	5	335	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9142857142857139	0.7194706994328897	0
38	3	2	3	1	2	1	2	1	5	189	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
34	6	2	2	1	1	2	1	3	2	201	2	6	1	3	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5804988662131518	0.7557655954631386	0
34	1	1	1	1	2	1	1	1	5	192	3	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7024943310657598	0.024574669187146014	0
31	4	1	3	1	2	1	1	7	5	201	2	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9641723356009069	1.0	0
43	5	1	4	1	1	1	2	1	5	225	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
56	10	1	4	1	2	1	1	4	1	1551	1	999	2	2	-1.0	-0.8612626656274358	0.757322175732217	-0.9424036281179139	-0.5924385633270361	0
42	1	1	1	1	2	1	2	1	2	92	5	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
29	3	1	3	1	1	1	1	7	3	209	2	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	0
31	8	3	2	1	1	1	2	1	5	168	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
34	6	1	2	1	1	1	1	3	2	228	3	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5804988662131518	0.7557655954631386	0
33	1	1	5	1	1	1	2	2	1	78	7	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9609977324263037	1.0	0
23	9	2	5	1	2	2	1	1	4	9	6	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7138321995464854	0.024574669187146014	0
55	6	1	3	1	2	1	1	7	3	106	6	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	0
47	2	3	5	1	1	1	2	2	1	60	6	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9609977324263037	1.0	0
49	8	1	3	1	1	1	2	1	1	142	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9179138321995464	0.7194706994328897	0
47	3	3	2	1	2	1	1	5	3	480	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9614512471655325	1.0	0
30	1	2	1	1	2	1	2	1	2	207	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
27	1	2	1	1	2	2	2	2	4	869	2	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.918820861678004	1.0	0
36	3	2	2	1	2	1	1	5	5	259	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9619047619047618	1.0	0
46	2	3	2	1	2	1	1	1	3	222	3	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6988662131519275	0.024574669187146014	0
30	8	3	6	1	2	2	1	1	4	149	1	999	1	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6861678004535148	0.024574669187146014	0
88	7	3	5	1	1	2	1	6	2	82	2	999	0	1	-0.33333333333333326	-0.4996102883865916	-0.93305439330544	-0.5337868480725624	0.024574669187146014	0
30	3	1	3	1	1	2	1	9	4	82	6	999	0	1	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6154195011337869	0.024574669187146014	0
43	5	2	1	1	1	1	2	2	1	461	2	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9646258503401357	1.0	0
30	5	2	3	1	1	2	1	5	2	63	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9623582766439907	1.0	0
49	10	1	2	1	1	1	2	1	3	96	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6739229024943311	0.024574669187146014	0
30	3	1	3	1	1	1	1	1	1	129	2	999	1	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6925170068027212	0.024574669187146014	0
39	3	1	3	1	2	1	2	2	5	979	9	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9619047619047618	1.0	0
32	5	2	3	1	1	1	2	5	4	119	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9623582766439907	1.0	0
49	5	1	4	1	1	1	1	5	1	354	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9600907029478456	1.0	0
39	5	1	2	1	1	1	1	1	5	451	4	3	1	3	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7024943310657598	0.024574669187146014	0
51	2	1	1	1	1	1	2	2	1	250	3	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9609977324263037	1.0	0
59	5	3	1	1	1	1	1	5	2	142	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
46	3	3	3	1	1	1	2	1	5	304	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
28	6	2	3	1	2	1	2	2	4	651	5	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9605442176870749	1.0	1
31	3	1	3	1	1	1	2	1	4	102	4	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9160997732426301	0.7194706994328897	0
26	2	2	2	1	1	1	2	1	5	188	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9142857142857139	0.7194706994328897	0
50	8	1	3	1	1	1	1	3	4	57	3	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5605442176870745	0.7557655954631386	0
41	10	1	1	1	1	1	1	9	3	263	1	999	0	1	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6231292517006803	0.024574669187146014	0
50	4	1	4	1	2	1	1	5	4	73	7	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.965079365079365	1.0	0
32	1	2	2	1	2	2	1	1	2	204	3	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.70702947845805	0.024574669187146014	0
56	4	1	3	1	2	1	1	9	3	83	3	999	1	2	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6507936507936508	0.024574669187146014	0
42	3	1	2	1	1	1	1	1	5	111	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6784580498866214	0.024574669187146014	0
36	3	2	3	1	2	1	2	1	3	12	5	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7238095238095239	0.024574669187146014	0
45	1	1	6	1	1	1	2	2	3	134	8	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9183673469387756	1.0	0
55	5	1	3	1	2	1	2	2	5	126	1	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9619047619047618	1.0	0
38	4	2	3	1	2	1	2	1	4	238	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9138321995464851	0.7194706994328897	0
71	7	1	5	1	1	2	1	8	5	120	1	6	1	3	-1.0	-0.8207326578332044	1.0	-0.9578231292517008	-0.5924385633270361	0
22	2	2	5	1	2	1	2	1	2	91	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.915192743764172	0.7194706994328897	0
30	3	2	3	1	2	1	1	3	1	331	2	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5356009070294783	0.7557655954631386	1
78	7	1	2	1	1	1	1	1	3	754	2	3	2	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7147392290249434	0.024574669187146014	0
30	3	3	3	1	1	1	1	3	2	589	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5804988662131518	0.7557655954631386	0
51	1	1	6	1	1	1	1	9	2	89	2	999	0	1	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6657596371882086	0.024574669187146014	0
34	2	1	2	1	2	1	2	2	1	9	14	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9609977324263037	1.0	0
49	6	1	3	1	1	1	1	7	4	87	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.965079365079365	1.0	0
50	1	3	5	1	2	1	1	5	4	150	5	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9623582766439907	1.0	0
51	8	1	3	1	2	1	2	1	2	98	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9142857142857139	0.7194706994328897	0
57	7	1	3	1	1	1	1	7	2	187	1	999	1	2	-0.7916666666666665	-1.0	0.6234309623430958	-0.909750566893424	-0.14858223062382336	0
33	3	3	3	1	1	1	1	3	3	76	2	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.6126984126984125	0.7557655954631386	0
